カテゴリ,タスク名,状態,期限,実績日,予算,実績経費,備考
準備,作品コンセプト・テーマの決定 (3色:金・青・桃),未,2026-03-24,,0,,
準備,画材購入: 高級木枠キャンバス(20cm正方形×5個),未,2026-03-25,,15000,,予備含む
準備,画材購入: アムステルダムアクリリック(12色),未,2026-03-25,,9600,,
準備,画材購入: ポーリングメディウム・仕上げ剤,未,2026-03-25,,3500,,
準備,画材購入: プレート・消耗品・ラメ類,未,2026-03-25,,5000,,
基盤構築,メールアカウント作成 (プロジェクト専用),未,2026-03-26,,0,,
基盤構築,インスタグラム・スレッズのアカウント名・アイコン決定,未,2026-03-26,,0,,
基盤構築,インスタグラム・スレッズアカウント開設,未,2026-03-27,,0,,
基盤構築,LINE公式アカウント作成・リッチメニュー設定,未,2026-03-28,,0,,
制作,3作品の構成案・カラーパレット作成,未,2026-03-29,,0,,
制作,本制作（3作品：金・青・桃）,未,2026-04-05,,0,,
制作,手書きギャランティーカード作成（3枚）,未,2026-04-10,,1000,,
制作,仕上げ（保護剤・乾燥・額装確認）,未,2026-04-12,,2000,,
制作,作品の撮影（自然光・スタジオ風）,未,2026-04-13,,0,,
基盤構築,販売プラットフォーム（STORES等）ショップ開設・限定設定,未,2026-04-15,,0,,
基盤構築,配送梱包材: 高級感のある段ボール・リボン,未,2026-04-17,,3000,,
マーケティング,SNS告知スケジュールの確定(4/29目標),未,2026-04-20,,0,,
マーケティング,制作過程の投稿（フェーズ1・2開始）,未,2026-04-20,,0,,
マーケティング,完成作品の予告・ストーリー公開,未,2026-04-25,,0,,
マーケティング,販売開始日の告知（最強開運日ローンチ告知）,未,2026-04-28,,0,,
販売,商品ページの完成（価格：77,777円設定）,未,2026-04-28,,0,,
販売,販売開始（4/29 21:00 ローンチ）,未,2026-04-29,,0,,最強開運日
販売,注文確認・サンクスメール・手書きの個別対応,未,2026-04-30,,0,,
販売,梱包・配送作業（丁寧なラッピング）,未,2026-05-01,,2000,,送料含む
収支管理,経費の入力・領収書整理,未,2026-05-10,,0,,
収支管理,売上集計・利益計算（モニター販売結果）,未,2026-05-10,,0,,
収支管理,次回本販売への改善点・フィードバック作成,未,2026-05-15,,0,,
